Date,Open,High,Low,Close,Adj Close,Volume
2014-05-26,null,null,null,null,null,null
2014-06-02,115.279999,115.690002,114.099998,115.559998,89.811752,10679600
2014-06-09,115.809998,115.910004,114.470001,114.800003,89.538589,3094700
2014-06-16,114.650002,114.849998,113.650002,114.610001,89.390404,3754200
2014-06-23,114.690002,115.660004,114.660004,115.559998,90.131355,2504900
2014-06-30,115.199997,115.559998,114.339996,114.489998,89.296791,2416000
2014-07-07,114.639999,115.830002,114.570000,115.550003,90.438179,2890400
2014-07-14,115.620003,115.620003,114.849998,115.260002,90.211182,3134800
2014-07-21,115.330002,116.320000,115.010002,115.980003,90.774689,2759200
2014-07-28,115.879997,115.930000,113.019997,113.330002,88.700623,9743600
2014-08-04,113.589996,114.050003,112.940002,113.570000,89.199829,7001700
2014-08-11,113.639999,115.250000,113.629997,115.040001,90.354416,3409500
2014-08-18,115.070000,115.400002,114.769997,114.989998,90.315140,3121100
2014-08-25,114.970001,116.000000,114.879997,115.629997,90.817795,2852000
2014-09-01,115.250000,115.510002,114.750000,115.419998,90.652863,4272300
2014-09-08,115.180000,115.279999,113.660004,113.680000,89.510750,4936100
2014-09-15,113.500000,113.790001,113.180000,113.489998,89.361137,2666400
2014-09-22,113.790001,114.139999,113.309998,113.440002,89.321754,3569400
2014-09-29,113.029999,113.150002,112.570000,112.870003,88.872955,8968000
2014-10-06,112.970001,113.970001,112.949997,113.209999,89.449791,4415100
2014-10-13,113.360001,114.089996,112.769997,113.959999,90.042374,4942900
2014-10-20,114.029999,114.349998,113.919998,114.089996,90.145081,4325800
2014-10-27,114.089996,114.849998,113.919998,114.680000,90.611259,3247800
2014-11-03,114.480003,114.480003,113.209999,113.559998,89.726349,6745900
2014-11-10,113.910004,113.910004,113.089996,113.250000,89.798515,3539700
2014-11-17,113.199997,114.110001,112.889999,114.010002,90.401161,2695000
2014-11-24,114.050003,114.459999,113.800003,113.800003,90.234642,1886100
2014-12-01,113.040001,113.389999,112.440002,112.489998,89.195908,7831500
2014-12-08,112.279999,112.279999,108.139999,108.269997,86.165504,7244400
2014-12-15,108.040001,111.459999,104.940002,111.370003,88.632622,7121800
2014-12-22,111.120003,111.900002,110.440002,110.800003,88.178978,3053900
2014-12-29,110.480003,110.860001,108.730003,109.320000,87.470360,6564500
2015-01-05,109.889999,110.809998,108.269997,110.040001,88.046440,4990000
2015-01-12,109.860001,111.400002,109.349998,110.809998,88.662529,4334100
2015-01-19,110.820000,111.900002,110.180000,111.650002,89.334679,4624200
2015-01-26,111.519997,111.940002,110.610001,111.760002,89.422653,4202900
2015-02-02,111.639999,112.169998,111.000000,111.449997,89.174606,4140000
2015-02-09,111.489998,111.849998,110.480003,111.750000,89.718903,5069700
2015-02-16,111.589996,111.760002,111.089996,111.500000,89.518219,1810200
2015-02-23,111.309998,112.620003,110.980003,112.449997,90.280914,2792500
2015-03-02,112.230003,112.279999,110.639999,110.720001,88.891975,3199300
2015-03-09,110.720001,110.989998,109.610001,109.720001,88.368896,3429400
2015-03-16,109.739998,111.699997,109.269997,111.690002,89.955521,3876300
2015-03-23,111.769997,112.620003,111.480003,111.910004,90.132736,3138300
2015-03-30,112.059998,112.870003,111.889999,112.849998,90.889809,3208200
2015-04-06,112.989998,113.870003,112.889999,113.620003,91.819534,3813100
2015-04-13,113.620003,113.839996,113.050003,113.370003,91.617500,3315600
2015-04-20,113.180000,114.110001,112.879997,114.110001,92.215508,5193900
2015-04-27,114.220001,114.309998,112.349998,112.830002,91.181084,4392800
2015-05-04,112.800003,112.949997,112.089996,112.919998,91.579269,2721200
2015-05-11,112.879997,112.989998,111.599998,112.849998,91.522491,4116800
2015-05-18,113.040001,113.040001,111.910004,112.860001,91.530602,4266300
2015-05-25,112.690002,112.750000,111.980003,112.370003,91.133232,1702400
2015-06-01,111.660004,111.809998,109.959999,110.080002,89.276009,3535500
2015-06-08,110.000000,110.059998,108.980003,109.449997,89.097290,3025300
2015-06-15,109.440002,110.349998,108.709999,110.209999,89.715935,3822700
2015-06-22,110.519997,110.610001,109.860001,109.930000,89.488045,2923900
2015-06-29,109.669998,110.050003,109.360001,109.970001,89.520592,9687700
2015-07-06,109.849998,109.970001,109.220001,109.879997,89.792030,3951300
2015-07-13,109.779999,109.879997,109.269997,109.680000,89.628632,3745700
2015-07-20,109.650002,109.849998,108.900002,108.980003,89.056580,2828700
2015-07-27,108.589996,109.849998,108.500000,109.660004,89.612274,3749800
2015-08-03,109.250000,109.300003,108.300003,108.470001,88.639816,7861100
2015-08-10,108.449997,108.750000,108.309998,108.550003,89.045410,4245300
2015-08-17,108.279999,108.629997,107.059998,107.089996,87.847748,5448100
2015-08-24,105.599998,108.220001,105.029999,107.949997,88.553230,7673800
2015-08-31,108.370003,108.459999,107.010002,107.639999,88.298935,6781500
2015-09-07,107.599998,108.000000,107.599998,107.820000,88.825729,2678900
2015-09-14,107.709999,109.239998,107.699997,109.110001,89.888451,3847600
2015-09-21,109.070000,109.129997,106.599998,106.800003,87.985397,3622100
2015-09-28,106.370003,106.830002,105.360001,106.830002,88.010124,6300300
2015-10-05,107.160004,108.559998,107.010002,108.540001,89.815613,3188900
2015-10-12,108.360001,109.680000,107.919998,109.540001,90.643105,3549500
2015-10-19,109.209999,109.559998,108.449997,109.250000,90.403137,3800100
2015-10-26,109.150002,109.449997,108.410004,108.500000,89.782516,3836400
2015-11-02,108.040001,109.300003,107.830002,108.190002,89.525970,6990400
2015-11-09,107.629997,108.150002,107.449997,107.879997,89.632973,3013400
2015-11-16,107.639999,109.099998,107.529999,108.989998,90.555214,5647400
2015-11-23,108.900002,109.019997,108.550003,108.680000,90.297646,2259900
2015-11-30,108.620003,108.750000,106.900002,107.339996,89.184280,6763900
2015-12-07,107.029999,107.419998,105.199997,105.290001,87.825417,5693400
2015-12-14,105.139999,106.610001,105.139999,105.989998,88.409294,5707800
2015-12-21,106.169998,106.470001,105.730003,105.959999,88.384285,4552900
2015-12-28,106.000000,106.040001,105.459999,105.779999,88.690681,2850600
2016-01-04,105.489998,106.360001,105.150002,105.349998,88.330147,6523700
2016-01-11,105.449997,105.449997,103.120003,103.360001,86.661629,5781100
2016-01-18,103.910004,104.790001,102.900002,104.550003,87.659386,5979000
2016-01-25,104.660004,106.110001,103.830002,105.820000,88.724190,4674300
2016-02-01,105.199997,105.290001,104.400002,105.129997,88.145683,6762600
2016-02-08,104.820000,104.830002,103.949997,104.709999,88.142517,4518200
