Date,Open,High,Low,Close,Adj Close,Volume
2013-05-27,35.040001,35.200001,34.389999,34.389999,30.721365,4498400
2013-06-03,34.610001,35.500000,33.840000,34.730000,31.025097,22796400
2013-06-10,35.080002,35.119999,33.349998,34.380001,30.712435,21074900
2013-06-17,34.709999,36.470001,33.810001,34.270000,30.614166,31152100
2013-06-24,33.779999,35.799999,33.150002,34.580002,30.891098,28481000
2013-07-01,34.709999,35.639999,34.400002,35.619999,31.820148,13821000
2013-07-08,35.790001,36.910000,35.750000,36.840000,32.910004,17781100
2013-07-15,36.810001,37.500000,35.919998,37.480000,33.481720,18034300
2013-07-22,37.529999,37.770000,36.250000,36.410000,32.525875,17673900
2013-07-29,36.310001,37.590000,35.619999,37.560001,33.553200,17641500
2013-08-05,37.509998,37.869999,33.660000,34.549999,30.864296,36476500
2013-08-12,34.189999,34.840000,34.009998,34.259998,30.605225,29688100
2013-08-19,34.000000,34.000000,32.540001,33.380001,29.819111,28546000
2013-08-26,33.410000,34.889999,32.830002,34.430000,30.928629,29592100
2013-09-02,34.860001,36.139999,34.770000,35.689999,32.060490,28474500
2013-09-09,35.860001,36.669998,35.490002,35.570000,31.952684,35277000
2013-09-16,35.880001,36.529999,35.340000,35.900002,32.249130,30183200
2013-09-23,35.650002,35.799999,34.639999,34.900002,31.350828,22481400
2013-09-30,34.770000,35.290001,33.930000,34.790001,31.252018,30131100
2013-10-07,34.369999,35.250000,33.820000,34.860001,31.314892,20539100
2013-10-14,34.580002,35.369999,34.410000,35.279999,31.692179,23917100
2013-10-21,35.090000,35.740002,34.470001,35.590000,31.970650,24922400
2013-10-28,35.630001,36.369999,34.900002,35.270000,31.683191,24241800
2013-11-04,35.360001,36.660000,34.959999,36.389999,32.689304,36772300
2013-11-11,36.450001,36.750000,35.529999,36.730000,32.994717,21013500
2013-11-18,36.160000,38.180000,36.160000,37.610001,33.785221,28742300
2013-11-25,37.549999,37.549999,36.020000,36.040001,32.543240,17337200
2013-12-02,36.020000,37.000000,35.869999,36.560001,33.012783,29054400
2013-12-09,36.549999,36.770000,35.480000,35.799999,32.326515,32921700
2013-12-16,35.840000,36.070000,34.169998,35.160000,31.748625,38711900
2013-12-23,35.360001,35.660000,35.099998,35.630001,32.173008,9842200
2013-12-30,35.700001,35.770000,34.430000,34.520000,31.170713,13643100
2014-01-06,34.619999,34.930000,34.080002,34.639999,31.279066,24037200
2014-01-13,34.669998,34.740002,33.950001,33.959999,30.665047,24885000
2014-01-20,34.330002,34.490002,32.970001,33.000000,29.798191,17417300
2014-01-27,33.000000,33.439999,32.400002,32.790001,29.608574,21599000
2014-02-03,32.779999,32.950001,31.570000,32.599998,29.436996,44043200
2014-02-10,32.490002,33.430000,32.049999,33.220001,29.996843,30057700
2014-02-17,33.279999,34.049999,33.110001,33.259998,30.205462,24999000
2014-02-24,33.490002,34.330002,33.049999,33.500000,30.423422,31819600
2014-03-03,33.380001,34.320000,33.250000,34.240002,31.095463,28568400
2014-03-10,34.150002,34.400002,32.619999,33.080002,30.041992,27596400
2014-03-17,33.080002,34.570000,32.970001,34.389999,31.231682,28843900
2014-03-24,34.340000,35.259998,34.099998,35.220001,31.985460,30506600
2014-03-31,35.340000,35.990002,35.180000,35.590000,32.321480,26202500
2014-04-07,35.410000,35.669998,34.790001,35.070000,31.849226,31928100
2014-04-14,35.410000,36.849998,35.189999,36.730000,33.356777,26396300
2014-04-21,36.810001,36.930000,35.959999,36.080002,32.766479,36633100
2014-04-28,36.240002,36.990002,35.910000,36.540001,33.184231,34516000
2014-05-05,36.459999,36.700001,35.360001,35.910000,32.612087,37665200
2014-05-12,36.139999,36.720001,35.570000,35.849998,32.557598,31033200
2014-05-19,35.549999,36.500000,35.349998,36.279999,32.948105,24446700
2014-05-26,36.310001,36.779999,36.180000,36.660000,33.470604,21065700
2014-06-02,36.750000,37.490002,36.279999,37.310001,34.064056,31435300
2014-06-09,37.400002,39.349998,37.349998,39.080002,35.680061,35867900
2014-06-16,39.220001,39.849998,38.580002,39.720001,36.264385,30761300
2014-06-23,39.810001,40.220001,38.939999,39.439999,36.008743,33113600
2014-06-30,39.549999,40.330002,39.400002,40.320000,36.812172,21456000
2014-07-07,40.029999,40.119999,39.020000,39.139999,35.734844,29346400
2014-07-14,39.430000,40.380001,39.240002,39.799999,36.337421,21605600
2014-07-21,39.650002,40.740002,39.360001,40.509998,36.985653,19994900
2014-07-28,40.450001,40.540001,38.040001,38.610001,35.250950,23603600
2014-08-04,38.770000,40.049999,37.900002,39.080002,35.680061,34120100
2014-08-11,39.230000,39.480000,38.799999,39.020000,35.625286,30728000
2014-08-18,39.000000,40.290001,38.630001,40.000000,36.520023,22230600
2014-08-25,40.080002,41.740002,39.930000,41.689999,38.268951,24247000
2014-09-01,41.700001,41.919998,40.310001,40.910000,37.552963,24363000
2014-09-08,40.740002,40.740002,39.340000,39.580002,36.332104,24705600
2014-09-15,39.500000,40.650002,39.150002,39.230000,36.010818,28265500
2014-09-22,39.090000,39.189999,37.880001,38.540001,35.377438,19965800
2014-09-29,38.070000,38.720001,35.950001,36.650002,33.642525,25726300
2014-10-06,36.750000,36.959999,33.980000,34.230000,31.421112,29711000
2014-10-13,34.279999,34.590000,31.350000,33.930000,31.145729,50246200
2014-10-20,33.799999,35.169998,33.610001,34.500000,31.668953,28294600
2014-10-27,33.900002,35.500000,32.990002,35.400002,32.495102,33694300
2014-11-03,35.560001,35.779999,32.880001,34.389999,31.567982,44693100
2014-11-10,34.660000,34.970001,31.610001,32.360001,29.704569,40704400
2014-11-17,31.889999,34.160000,31.520000,33.830002,31.053946,32379700
2014-11-24,33.669998,33.889999,28.549999,28.920000,26.720245,25647700
2014-12-01,28.520000,31.010000,28.219999,29.230000,27.006668,51663900
2014-12-08,28.969999,29.170000,25.299999,25.450001,23.514191,54176900
2014-12-15,25.790001,28.490000,24.280001,28.230000,26.082729,76261200
2014-12-22,28.180000,28.799999,27.850000,28.260000,26.110449,25274000
2014-12-29,28.500000,28.950001,27.850000,28.600000,26.424597,20739900
2015-01-05,28.040001,28.040001,26.469999,27.650000,25.546854,47693900
2015-01-12,27.139999,27.190001,24.809999,26.600000,24.576719,42895300
2015-01-19,26.240000,27.240000,25.660000,26.520000,24.502802,26194200
2015-01-26,26.530001,27.379999,24.850000,26.600000,24.576719,36007100
2015-02-02,27.059999,28.950001,26.860001,27.959999,25.833269,51246200
2015-02-09,28.180000,29.510000,27.340000,29.490000,27.246893,33368000
2015-02-16,29.379999,29.670000,27.809999,28.469999,26.497824,36282100
2015-02-23,28.030001,29.139999,27.700001,27.860001,25.930082,30684700
