0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6
Date,Open,High,Low,Close,Adj Close,Volume,Date,Open,High,Low,Close,Adj Close,Volume,Date,Open,High,Low,Close,Adj Close,Volume,Date,Open,High,Low,Close,Adj Close,Volume,Date,Open,High,Low,Close,Adj Close,Volume
2009-06-01,93.900002,95.940002,93.019997,94.860001,77.035706,24721000,2009-06-01,83.699997,83.849998,83.180000,83.209999,75.464882,7578600,2009-06-01,923.260010,951.690002,923.260010,940.090027,940.090027,28312350000,2009-06-01,96.470001,96.970001,93.570000,93.709999,93.709999,82888900,2009-06-01,33.340000,35.099998,32.930000,34.439999,22.627659,13431500
2009-06-08,94.099998,96.389999,93.320000,95.389999,77.466110,15572700,2009-06-08,83.160004,83.309998,82.989998,83.269997,75.637337,4227200,2009-06-08,938.119995,956.229980,926.440002,946.210022,946.210022,24331760000,2009-06-08,93.260002,94.529999,92.000000,92.169998,92.169998,64057600,2009-06-08,34.740002,34.740002,32.299999,33.720001,22.154604,12928400
2009-06-15,94.209999,94.260002,91.089996,92.839996,75.395264,20499400,2009-06-15,83.330002,83.570000,83.300003,83.419998,75.773560,4509100,2009-06-15,942.450012,942.450012,903.780029,921.229980,921.229980,25570130000,2009-06-15,91.900002,92.500000,90.150002,91.900002,91.900002,63132500,2009-06-15,33.240002,33.419998,30.580000,31.450001,20.663181,9557000
2009-06-22,91.900002,92.529999,89.120003,92.010002,74.721214,27672400,2009-06-22,83.449997,83.739998,83.449997,83.720001,76.046059,4407900,2009-06-22,918.130005,922.000000,888.859985,918.900024,918.900024,25599580000,2009-06-22,90.410004,92.930000,89.949997,92.290001,92.290001,58891900,2009-06-22,30.879999,31.209999,29.570000,30.850000,20.268965,12550300
2009-06-29,92.379997,93.519997,90.050003,90.070000,73.537819,19835700,2009-06-29,83.730003,83.800003,83.559998,83.769997,76.091499,3102100,2009-06-29,919.859985,931.919983,896.419983,896.419983,896.419983,16689730000,2009-06-29,92.320000,93.000000,90.529999,91.250000,91.250000,48826600,2009-06-29,30.910000,31.750000,29.850000,29.879999,19.953926,8262900
2009-07-06,89.230003,90.209999,87.300003,88.250000,72.051857,26627700,2009-07-06,83.760002,83.980003,83.739998,83.959999,76.366264,4406700,2009-07-06,894.270020,898.719971,869.320007,879.130005,879.130005,23366910000,2009-07-06,90.480003,91.379997,88.820000,89.580002,89.580002,54662800,2009-07-06,29.700001,30.719999,27.820000,28.570000,19.079107,9473900
2009-07-13,88.550003,94.800003,87.889999,94.480003,77.138367,18513400,2009-07-13,83.930000,83.980003,83.650002,83.750000,76.175285,3273500,2009-07-13,879.570007,943.960022,875.320007,940.380005,940.380005,23927320000,2009-07-13,89.449997,92.519997,89.099998,91.930000,91.930000,37747200,2009-07-13,28.690001,31.740000,28.370001,30.639999,20.461460,11580900
2009-07-20,94.980003,98.440002,94.480003,98.389999,80.330666,22729200,2009-07-20,83.660004,83.910004,83.620003,83.699997,76.129799,4504400,2009-07-20,942.070007,979.789978,940.989990,979.260010,979.260010,25016500000,2009-07-20,93.610001,94.000000,92.690002,93.410004,93.410004,47255100,2009-07-20,31.030001,33.310001,30.940001,33.160000,22.144321,10822100
